Topic,GradeType,Num,Mean,Median,Min,Max
Exigență,relevance,84,84,7.64,8.0,2.0,10.0
Exigență,evaluation,84,84,6.20,6.0,1.0,10.0
Seriozitate,relevance,83,83,8.49,9.0,3.0,10.0
Seriozitate,evaluation,83,83,7.75,8.0,3.0,10.0
Punctualitate,relevance,83,83,7.41,8.0,1.0,10.0
Punctualitate,evaluation,83,83,7.63,8.0,0.0,10.0
Organizare,relevance,84,84,9.35,10.0,5.0,10.0
Organizare,evaluation,84,84,8.46,9.0,3.0,10.0
Deschidere,relevance,83,83,8.89,10.0,0.0,10.0
Deschidere,evaluation,84,84,9.02,9.0,6.0,10.0
Simț al umorului,relevance,82,82,7.83,8.0,0.0,10.0
Simț al umorului,evaluation,82,82,8.60,9.0,1.0,10.0
Retorică,relevance,78,78,8.92,9.0,4.0,10.0
Retorică,evaluation,78,78,8.39,9.0,5.0,10.0
Competență,relevance,82,82,9.89,10.0,8.0,10.0
Competență,evaluation,82,82,9.90,10.0,8.0,10.0
Preocupare,relevance,82,82,9.20,10.0,5.0,10.0
Preocupare,evaluation,82,82,9.10,9.0,6.0,10.0
Aspect fizic,relevance,82,82,5.29,5.0,0.0,10.0
Aspect fizic,evaluation,80,80,8.56,9.0,1.0,10.0
